,sentence
213,"John  N.  Nyer  also  defines  it    Financial statements provide a summary of the accounting of a business enterprise, the balance-sheet reflecting the assets, liabilities and capital as on a certain data and the income statement showing the results of operations during a certain period   ."
214,Financial statements generally consist of two important statements:  (i) The  income  statement  or  profit  and  loss  account.
215,(ii) Balance  sheet  or  the  position  statement.
216,"A  part  from  that,  the  business  concern  also  prepares  some  of  the  other  parts  of  statements, which are very useful to the internal purpose such as:  (i) Statement  of  changes  in  owner   s  equity."
217,(ii) Statement  of  changes  in  financial  position.
218,12  Financial Management  Financial Statement  Income Statement  Position Statement  Statement of changes  in Owner's Equity  Statement of changes in Financial Position  Fig.
219,"2.1 Financial Statement  Income Statement Income statement is also called as profit and loss account, which reflects the operational position of the firm during a particular period."
220,Normally it consists of one accounting year.
221,It determines the entire operational performance of the concern like total revenue generated and expenses incurred for earning that revenue.
222,Income  statement  helps  to  ascertain  the  gross  profit  and  net  profit  of  the  concern.
223,Gross profit is determined by preparation of trading or manufacturing a/c and net profit is determined by preparation of profit and loss account.
224,"Position Statement Position statement is also called as balance sheet, which reflects the financial position of the firm at the end of the financial year."
225,"Position  statement  helps  to  ascertain  and  understand  the  total  assets,  liabilities  and capital of the firm."
226,One can understand the strength and weakness of the concern with the help of the position statement.
227,Statement of Changes in Owner   s Equity It  is  also  called  as  statement  of  retained  earnings.
228,This  statement  provides  information about the changes or position of owner   s equity in the company.
229,How the retained earnings are  employed  in  the  business  concern.
230,"Nowadays,  preparation  of  this  statement  is  not popular and nobody is going to prepare the separate statement of changes in owner   s equity."
231,"Statement of Changes in Financial Position Income  statement  and  position  statement  shows  only  about  the  position  of  the  finance, hence it can   t measure the actual position of the financial statement."
232,Statement of changes in financial position helps to understand the changes in financial position from one period to another period.
233,Financial  Statement Analysis  13  Statement of changes in financial position involves two important areas such as fund flow  statement  which  involves  the  changes  in  working  capital  position  and  cash  flow statement which involves the changes in cash position.
234,TYPES OF FINANCIAL STATEMENT ANALYSIS Analysis of Financial Statement is also necessary to understand the financial positions during a particular period.
235,"According to Myres,    Financial statement analysis is largely a study of the relationship among the various financial factors in a business as disclosed by a single set of statements and a study of the trend of these factors as shown in a series of statements   ."
236,Analysis of financial statement may be broadly classified into two important types on  the basis of material used and methods of operations.
237,Types of Financial  Analysis  On the basis of  Materials Used  On the basis of   Methods of Operations  External  Analysis  Internal  Analysis  Horizontal Analysis  Vertical Analysis  Fig.
238,2.2  Types of Financial Statement Analysis  1.
